NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mmp3	30	1.8613361120224	-9.644058E-4	No	
row_1	Ctsb	46	1.7775893211364746	0.0029465149	No	
row_2	Psap	59	1.6944637298583984	0.007488196	No	
row_3	Npc2	202	1.3712157011032104	-0.035664562	No	
row_4	Ctsz	242	1.3031272888183594	-0.042710334	No	
row_5	Arg2	303	1.2186263799667358	-0.05762805	No	
row_6	Lgals3	344	1.1695560216903687	-0.065720655	No	
row_7	B2m	402	1.097032070159912	-0.08020716	No	
row_8	Hexa	476	1.0206493139266968	-0.10075359	No	
row_9	Acp5	483	1.008251667022705	-0.09764751	No	
row_10	Tmem252	484	1.0076221227645874	-0.0924208	No	
row_11	Fth1	503	0.9857916831970215	-0.09367902	No	
row_12	Creg1	517	0.9734629988670349	-0.093231276	No	
row_13	Cyba	554	0.9469895958900452	-0.10106244	No	
row_14	Ccdc141	598	0.8926205635070801	-0.11165351	No	
row_15	Gpx1	603	0.8883094191551208	-0.108461626	No	
row_16	Txn1	656	0.8462356925010681	-0.12247914	No	
row_17	Smim24	657	0.8450279235839844	-0.11809584	No	
row_18	Rnase4	691	0.8172346353530884	-0.12553811	No	
row_19	H2-D1	722	0.7936084270477295	-0.132041	No	
row_20	Cd63	724	0.7931666970252991	-0.1282807	No	
row_21	Cst3	782	0.7234262824058533	-0.14470516	No	
row_22	Ramac	797	0.7093728184700012	-0.14598127	No	
row_23	Prnp	820	0.6897398233413696	-0.15019108	No	
row_24	Plgrkt	836	0.679110050201416	-0.15197816	No	
row_25	Calm2	857	0.6637725234031677	-0.1556147	No	
row_26	Ostf1	862	0.6543638706207275	-0.15363634	No	
row_27	Ms4a8a	864	0.653627872467041	-0.15059985	No	
row_28	Pgam1	880	0.6431262493133545	-0.15257357	No	
row_29	Atp6v0e	888	0.6380190849304199	-0.15174194	No	
row_30	Iscu	905	0.6264925599098206	-0.15415594	No	
row_31	Stard5	917	0.6180816292762756	-0.15484364	No	
row_32	Cfl1	973	0.5813957452774048	-0.17129688	No	
row_33	Erp29	1003	0.5622861981391907	-0.17864569	No	
row_34	Sh3bgrl3	1006	0.5598050355911255	-0.17644985	No	
row_35	Atp6v1g1	1020	0.5526794791221619	-0.17818478	No	
row_36	Cstb	1056	0.5352080464363098	-0.18779795	No	
row_37	Srp14	1077	0.5189207196235657	-0.19218586	No	
row_38	Myl12a	1087	0.5163030624389648	-0.19269355	No	
row_39	Fam98c	1103	-0.5004863142967224	-0.19540718	No	
row_40	Gmds	1104	-0.5008147358894348	-0.19280937	No	
row_41	Nipsnap2	1112	-0.5019222497940063	-0.1926837	No	
row_42	Stap2	1127	-0.5047195553779602	-0.19502138	No	
row_43	Ndufaf2	1147	-0.5082165002822876	-0.19911084	No	
row_44	Sdcbp2	1160	-0.510959267616272	-0.2007082	No	
row_45	Zfpl1	1161	-0.5110644102096558	-0.19805722	No	
row_46	Calm3	1189	-0.5166584253311157	-0.20493475	No	
row_47	Coq9	1192	-0.5175653696060181	-0.20295802	No	
row_48	Rack1	1195	-0.5192962884902954	-0.2009723	No	
row_49	Selenos	1201	-0.5201470851898193	-0.20004413	No	
row_50	Idh3g	1205	-0.5211117267608643	-0.19840297	No	
row_51	Idh3b	1206	-0.521461546421051	-0.19569807	No	
row_52	Ece1	1216	-0.5249189138412476	-0.19616106	No	
row_53	Eif3f	1225	-0.5268130898475647	-0.19626024	No	
row_54	2510002D24Rik	1230	-0.5283410549163818	-0.19493559	No	
row_55	Fam162a	1258	-0.5328760147094727	-0.20172898	No	
row_56	Pigp	1260	-0.5331894159317017	-0.19931723	No	
row_57	H3f3b	1262	-0.5337100028991699	-0.19690277	No	
row_58	Bag1	1264	-0.5341486930847168	-0.19448604	No	
row_59	Erg28	1269	-0.5354313254356384	-0.19312459	No	
row_60	Ndufs2	1297	-0.5398454666137695	-0.19988184	No	
row_61	Abhd14b	1298	-0.5400318503379822	-0.19708061	No	
row_62	Clpp	1300	-0.5401681661605835	-0.19463265	No	
row_63	S100a11	1339	-0.5504643321037292	-0.20522863	No	
row_64	Pdcd6	1350	-0.552979588508606	-0.20590004	No	
row_65	Eef1b2	1352	-0.5530536770820618	-0.20338525	No	
row_66	Dbndd2	1375	-0.5582443475723267	-0.20827715	No	
row_67	BC031181	1376	-0.5582688450813293	-0.20538132	No	
row_68	Tax1bp3	1383	-0.5600234866142273	-0.20460027	No	
row_69	Surf1	1396	-0.5618643760681152	-0.20593357	No	
row_70	Rac1	1404	-0.5636218786239624	-0.20548785	No	
row_71	Nudt14	1414	-0.5661866664886475	-0.20573679	No	
row_72	Mpst	1415	-0.5662190914154053	-0.20279971	No	
row_73	Cops6	1432	-0.5719408392906189	-0.20549667	No	
row_74	Acp1	1433	-0.5719408392906189	-0.20252992	No	
row_75	Uqcc3	1456	-0.5761385560035706	-0.207329	No	
row_76	Ostc	1457	-0.5764004588127136	-0.20433912	No	
row_77	Dpm1	1459	-0.5764004588127136	-0.20170322	No	
row_78	Bola1	1463	-0.5768817663192749	-0.19977278	No	
row_79	Mt2	1478	-0.5807251334190369	-0.20171621	No	
row_80	Eef1g	1501	-0.5863981246948242	-0.20646207	No	
row_81	Slc22a18	1519	-0.5912847518920898	-0.20941268	No	
row_82	Zfand2b	1522	-0.5915010571479797	-0.20705242	No	
row_83	Ndufa9	1524	-0.5922403931617737	-0.20433436	No	
row_84	Ier2	1527	-0.592738926410675	-0.20196769	No	
row_85	1810009A15Rik	1530	-0.5933025479316711	-0.19959809	No	
row_86	Eif6	1550	-0.6013964414596558	-0.20320421	No	
row_87	Hmgb1	1558	-0.6030260920524597	-0.20255409	No	
row_88	Bsg	1560	-0.6035444140434265	-0.1997774	No	
row_89	Tmem59	1563	-0.604861855506897	-0.19734783	No	
row_90	Glo1	1573	-0.6083970665931702	-0.19737782	No	
row_91	Kdelr2	1577	-0.6089163422584534	-0.19528121	No	
row_92	Mdp1	1596	-0.6150621175765991	-0.19846246	No	
row_93	Hdac1	1598	-0.6159288287162781	-0.19562152	No	
row_94	Aimp1	1609	-0.6180431246757507	-0.19595546	No	
row_95	Ndufv2	1610	-0.6181874871253967	-0.1927488	No	
row_96	Emg1	1616	-0.6203497052192688	-0.19130085	No	
row_97	Timm44	1618	-0.6213342547416687	-0.18843187	No	
row_98	Pigx	1620	-0.6221315860748291	-0.18555875	No	
row_99	Ccdc107	1625	-0.6234490871429443	-0.18374075	No	
row_100	Smim20	1628	-0.6246556639671326	-0.18120852	No	
row_101	Sqor	1649	-0.6322097778320312	-0.1850088	No	
row_102	Nudt22	1651	-0.6329033970832825	-0.18207979	No	
row_103	Yipf1	1662	-0.6370233297348022	-0.18231528	No	
row_104	2610528J11Rik	1670	-0.6393985748291016	-0.18147647	No	
row_105	Pgk1	1680	-0.642210841178894	-0.18133107	No	
row_106	Mea1	1688	-0.6478406190872192	-0.18044849	No	
row_107	Vdac3	1705	-0.6566022038459778	-0.1827063	No	
row_108	Ppa1	1719	-0.660753607749939	-0.18388063	No	
row_109	Eef1d	1738	-0.6679999828338623	-0.18678728	No	
row_110	Tmem147	1757	-0.6731787323951721	-0.18966706	No	
row_111	Atg101	1782	-0.6808025240898132	-0.1946312	No	
row_112	Tmed3	1790	-0.6845332384109497	-0.19355829	No	
row_113	Thap4	1797	-0.6858308911323547	-0.19212466	No	
row_114	S100a16	1801	-0.686548113822937	-0.18962537	No	
row_115	Alkbh7	1821	-0.6963308453559875	-0.19273905	No	
row_116	Cib1	1832	-0.7012894153594971	-0.19264117	No	
row_117	Tmem205	1833	-0.7015392780303955	-0.18900216	No	
row_118	Hadh	1869	-0.7111924290657043	-0.19770247	No	
row_119	Eci1	1871	-0.7114881277084351	-0.19436584	No	
row_120	Pmm1	1922	-0.7293316721916199	-0.20828179	No	
row_121	Fh1	1923	-0.7297868132591248	-0.20449626	No	
row_122	Akr1c13	1950	-0.7403762340545654	-0.20985934	Yes	
row_123	Hnrnpc	1958	-0.7423620223999023	-0.20848647	Yes	
row_124	Rpp21	1964	-0.745290219783783	-0.20639044	Yes	
row_125	Hsp90aa1	1965	-0.7453309297561646	-0.20252427	Yes	
row_126	Trappc5	1980	-0.7504298686981201	-0.20358743	Yes	
row_127	Gclm	2000	-0.7610193490982056	-0.20636556	Yes	
row_128	Smagp	2010	-0.7662767767906189	-0.20557658	Yes	
row_129	Pts	2017	-0.7682008147239685	-0.2037157	Yes	
row_130	Cnnm4	2021	-0.7701138257980347	-0.20078292	Yes	
row_131	Pycard	2022	-0.7705730199813843	-0.19678584	Yes	
row_132	Rab25	2032	-0.7757092714309692	-0.19594795	Yes	
row_133	Cmbl	2054	-0.7871676087379456	-0.1992984	Yes	
row_134	Aqp11	2068	-0.7943249940872192	-0.19977987	Yes	
row_135	Mcu	2075	-0.7967095971107483	-0.1977711	Yes	
row_136	Plpp2	2091	-0.8035558462142944	-0.19891265	Yes	
row_137	Gtf2a2	2095	-0.804171085357666	-0.19580323	Yes	
row_138	Lurap1l	2107	-0.8078643083572388	-0.19550651	Yes	
row_139	Tmem98	2109	-0.8087722063064575	-0.19166525	Yes	
row_140	Fkbp4	2117	-0.8144696950912476	-0.18991834	Yes	
row_141	Mettl26	2118	-0.8146563768386841	-0.18569258	Yes	
row_142	Car9	2120	-0.8150235414505005	-0.1818189	Yes	
row_143	Nudt19	2129	-0.8179177045822144	-0.18040808	Yes	
row_144	Arpc5l	2141	-0.8238430619239807	-0.18002847	Yes	
row_145	Tstd1	2153	-0.8277611136436462	-0.17962854	Yes	
row_146	Cbr3	2160	-0.8342417478561401	-0.17742509	Yes	
row_147	Macrod1	2161	-0.8380790948867798	-0.17307782	Yes	
row_148	Lmo4	2166	-0.8420376777648926	-0.17012596	Yes	
row_149	Spag7	2169	-0.8436368703842163	-0.16645785	Yes	
row_150	Rp9	2194	-0.8563119769096375	-0.17051159	Yes	
row_151	Gtf3c6	2196	-0.857475221157074	-0.1664177	Yes	
row_152	Akr1e1	2206	-0.8606513738632202	-0.1651392	Yes	
row_153	Elof1	2236	-0.8849897980690002	-0.1708141	Yes	
row_154	Akr7a5	2240	-0.8861659169197083	-0.16727935	Yes	
row_155	Cisd3	2243	-0.8867406249046326	-0.16338764	Yes	
row_156	Ifi27l2b	2250	-0.8936187624931335	-0.16087618	Yes	
row_157	Krtcap3	2265	-0.9015558362007141	-0.16115542	Yes	
row_158	Hcfc1r1	2289	-0.9177125096321106	-0.16453667	Yes	
row_159	Srek1ip1	2300	-0.9277123808860779	-0.16326429	Yes	
row_160	Cdc42ep5	2317	-0.9350755214691162	-0.16407762	Yes	
row_161	Lgals4	2334	-0.9448876976966858	-0.16484004	Yes	
row_162	Fmc1	2341	-0.9537372589111328	-0.16201675	Yes	
row_163	Nans	2346	-0.9594550728797913	-0.15845582	Yes	
row_164	Gale	2351	-0.9654427766799927	-0.15486383	Yes	
row_165	Gpd1	2364	-0.9778314828872681	-0.15403944	Yes	
row_166	Cldn3	2379	-0.9913827776908875	-0.15385273	Yes	
row_167	Ap1m2	2386	-0.9954399466514587	-0.1508131	Yes	
row_168	2310039H08Rik	2388	-0.9971516132354736	-0.1459947	Yes	
row_169	Tspan1	2419	-1.0169427394866943	-0.15133911	Yes	
row_170	Pllp	2430	-1.0295214653015137	-0.14953864	Yes	
row_171	Dcxr	2434	-1.037216067314148	-0.14522037	Yes	
row_172	Krt19	2476	-1.067379355430603	-0.15419696	Yes	
row_173	Adh1	2495	-1.088556170463562	-0.15492213	Yes	
row_174	Srsf3	2496	-1.0896371603012085	-0.14926998	Yes	
row_175	Mgst2	2501	-1.094531536102295	-0.1450084	Yes	
row_176	Gnpnat1	2514	-1.1106935739517212	-0.14349483	Yes	
row_177	Bad	2522	-1.1165012121200562	-0.14018123	Yes	
row_178	Spint2	2539	-1.1391196250915527	-0.13993613	Yes	
row_179	Gstt3	2579	-1.1836782693862915	-0.14760152	Yes	
row_180	Cgref1	2584	-1.189215064048767	-0.14284879	Yes	
row_181	Il18	2586	-1.1909141540527344	-0.1370253	Yes	
row_182	Fahd1	2588	-1.194506049156189	-0.13118318	Yes	
row_183	Smim22	2591	-1.200650691986084	-0.12566316	Yes	
row_184	Pafah1b3	2606	-1.217642068862915	-0.1243028	Yes	
row_185	Mcrip2	2640	-1.2666658163070679	-0.1294138	Yes	
row_186	Cldn7	2642	-1.2694170475006104	-0.12318311	Yes	
row_187	Ppcs	2643	-1.2717344760894775	-0.11658641	Yes	
row_188	Clybl	2681	-1.3368700742721558	-0.12274918	Yes	
row_189	Espn	2688	-1.3459458351135254	-0.11789143	Yes	
row_190	Plac8	2695	-1.3528770208358765	-0.11299772	Yes	
row_191	AA467197	2702	-1.3642733097076416	-0.1080449	Yes	
row_192	Gstm5	2715	-1.3917789459228516	-0.105073296	Yes	
row_193	Gm3336	2730	-1.425898790359497	-0.10263267	Yes	
row_194	Tmem45b	2732	-1.4382108449935913	-0.09552641	Yes	
row_195	Noxo1	2734	-1.4401432275772095	-0.08841013	Yes	
row_196	Fa2h	2735	-1.44619882106781	-0.080908455	Yes	
row_197	Fbp2	2748	-1.4861379861831665	-0.07744739	Yes	
row_198	Krt7	2749	-1.4869693517684937	-0.06973423	Yes	
row_199	Tst	2769	-1.5241413116455078	-0.06855392	Yes	
row_200	Gstp2	2788	-1.5605263710021973	-0.06683089	Yes	
row_201	Fermt1	2795	-1.5794506072998047	-0.060761906	Yes	
row_202	Ces1d	2822	-1.6429554224014282	-0.061443157	Yes	
row_203	Klf5	2823	-1.6441524028778076	-0.052914664	Yes	
row_204	Adam28	2848	-1.738820195198059	-0.052390687	Yes	
row_205	Cela1	2888	-1.9275754690170288	-0.056197338	Yes	
row_206	Pigr	2910	-2.091963052749634	-0.0527796	Yes	
row_207	Gsto1	2912	-2.1031558513641357	-0.04222416	Yes	
row_208	Fgfbp1	2921	-2.158816337585449	-0.033857875	Yes	
row_209	Bdh1	2937	-2.2585601806640625	-0.027452078	Yes	
row_210	Agr2	2938	-2.2596933841705322	-0.015730668	Yes	
row_211	Paqr5	2944	-2.3025050163269043	-0.0055570984	Yes	
row_212	Dmbt1	2949	-2.3527700901031494	0.0052311863	Yes	
row_213	Pglyrp1	2963	-2.4920027256011963	0.013555854	Yes	
row_214	Ces1f	2965	-2.504883050918579	0.026195122	Yes	
